layout,ping_noise,condition,seed,escape_rate,time_to_exit_mean,jam_events_mean,path_eff_mean
zigzag,0.12,one_llm,0,0.9333333333333333,240.07142857142858,0.06666666666666667,0.4615757242100347
zigzag,0.12,one_llm,1,0.9333333333333333,183.57142857142858,0.06666666666666667,0.5848859060332643
zigzag,0.12,one_llm,2,1.0,192.4,0,0.5723285033748505
zigzag,0.12,one_llm,3,1.0,205.53333333333333,0,0.5296304997530376
zigzag,0.12,one_llm,4,1.0,176.4,0.06666666666666667,0.6158625956805162
zigzag,0.12,one_llm,5,0.9333333333333333,240.64285714285714,0,0.46635866018044675
zigzag,0.12,one_llm,6,0.9333333333333333,333.14285714285717,0,0.32844536054051565
zigzag,0.12,one_llm,7,0.7333333333333333,269.8181818181818,0,0.4296307084280615
zigzag,0.12,one_llm,8,1.0,243.26666666666668,0.06666666666666667,0.45542996756603543
zigzag,0.12,one_llm,9,1.0,500.06666666666666,0.06666666666666667,0.22038212673104032
zigzag,0.2,rule_only,0,0.6666666666666666,361.2,0.06666666666666667,0.28334106228623185
zigzag,0.2,rule_only,1,0.8,294.9166666666667,0,0.3485872376055836
zigzag,0.2,rule_only,2,0.7333333333333333,359.90909090909093,0,0.2821375624555193
zigzag,0.2,rule_only,3,0.7333333333333333,250.9090909090909,0,0.412452800891548
zigzag,0.2,rule_only,4,0.8,303.0833333333333,0,0.3479830840475866
zigzag,0.2,rule_only,5,0.8666666666666667,267.6923076923077,0,0.37769759659172136
zigzag,0.2,rule_only,6,0.8,437.4166666666667,0,0.24297274018128823
zigzag,0.2,rule_only,7,0.4666666666666667,572,0,0.1925116110639154
zigzag,0.2,rule_only,8,0.8666666666666667,470.15384615384613,0,0.26393498489468187
zigzag,0.2,rule_only,9,0.9333333333333333,250.21428571428572,0,0.4224139212851201
zigzag,0.2,one_llm,0,0.9333333333333333,232.5,0.13333333333333333,0.4740615972738039
zigzag,0.2,one_llm,1,0.8666666666666667,172.84615384615384,0,0.6250334678575887
zigzag,0.2,one_llm,2,1.0,245.6,0.06666666666666667,0.4521235255399776
zigzag,0.2,one_llm,3,1.0,241.13333333333333,0,0.449244451500095
zigzag,0.2,one_llm,4,1.0,238.93333333333334,0,0.4622260982214309
zigzag,0.2,one_llm,5,0.9333333333333333,320.57142857142856,0.06666666666666667,0.3421453955126914
zigzag,0.2,one_llm,6,1.0,228.93333333333334,0.06666666666666667,0.48130799661488977
zigzag,0.2,one_llm,7,0.7333333333333333,235.36363636363637,0,0.5345337058043883
zigzag,0.2,one_llm,8,0.9333333333333333,290.7142857142857,0,0.3802637021179625
zigzag,0.2,one_llm,9,0.0,,0.06666666666666667,
culdesac,0.08,rule_only,0,1.0,213,0,0.46808071820995906
culdesac,0.08,rule_only,1,1.0,197.86666666666667,0,0.5400498806411226
culdesac,0.08,rule_only,2,0.2,813,0,0.1254122197471542
culdesac,0.08,rule_only,3,0.7333333333333333,224.1818181818182,0.06666666666666667,0.4855953064166756
culdesac,0.08,rule_only,4,0.8,231.91666666666666,0,0.43288059910681337
culdesac,0.08,rule_only,5,0.6666666666666666,283.8,0,0.36071207011080647
culdesac,0.08,rule_only,6,0.8666666666666667,201.46153846153845,0.06666666666666667,0.5072132054588337
culdesac,0.08,rule_only,7,0.8,310.25,0,0.3454853462420464
culdesac,0.08,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
culdesac,0.08,rule_only,9,0.8,216,0,0.4876853123449973
culdesac,0.08,one_llm,0,1.0,151.2,0,0.7515516547937108
culdesac,0.08,one_llm,1,0.9333333333333333,156.14285714285714,0.06666666666666667,0.7558581794223951
culdesac,0.08,one_llm,2,1.0,173.93333333333334,0,0.6446896034569854
culdesac,0.08,one_llm,3,0.9333333333333333,152.21428571428572,0.13333333333333333,0.7403677904632522
culdesac,0.08,one_llm,4,1.0,156.26666666666668,0.06666666666666667,0.7169354607029782
culdesac,0.08,one_llm,5,1.0,159.46666666666667,0.06666666666666667,0.7158012404382242
culdesac,0.08,one_llm,6,0.9333333333333333,482.42857142857144,0.13333333333333333,0.22765468147625467
culdesac,0.08,one_llm,7,1.0,157.26666666666668,0,0.7228387642797767
culdesac,0.08,one_llm,8,1.0,201.13333333333333,0.06666666666666667,0.5506622341183884
culdesac,0.08,one_llm,9,1.0,164.53333333333333,0.06666666666666667,0.6710506099528637
culdesac,0.12,rule_only,0,1.0,213,0,0.46808071820995906
culdesac,0.12,rule_only,1,1.0,197.86666666666667,0,0.5400498806411226
culdesac,0.12,rule_only,2,0.2,813,0,0.1254122197471542
culdesac,0.12,rule_only,3,0.7333333333333333,224.1818181818182,0.06666666666666667,0.4855953064166756
culdesac,0.12,rule_only,4,0.8,231.91666666666666,0,0.43288059910681337
culdesac,0.12,rule_only,5,0.6666666666666666,283.8,0,0.36071207011080647
culdesac,0.12,rule_only,6,0.8666666666666667,201.46153846153845,0.06666666666666667,0.5072132054588337
culdesac,0.12,rule_only,7,0.8,310.25,0,0.3454853462420464
culdesac,0.12,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
culdesac,0.12,rule_only,9,0.8,216,0,0.4876853123449973
culdesac,0.12,one_llm,0,1.0,187.26666666666668,0.13333333333333333,0.6088054255312955
culdesac,0.12,one_llm,1,1.0,152.2,0,0.7343183409222491
culdesac,0.12,one_llm,2,0.9333333333333333,193.71428571428572,0,0.576228997413103
culdesac,0.12,one_llm,3,0.8666666666666667,147.53846153846155,0.06666666666666667,0.7629385246668072
culdesac,0.12,one_llm,4,1.0,152.8,0,0.7182077418748175
culdesac,0.12,one_llm,5,1.0,156.4,0,0.7104582751360006
culdesac,0.12,one_llm,6,0.9333333333333333,157.57142857142858,0.06666666666666667,0.7267319913095523
culdesac,0.12,one_llm,7,0.9333333333333333,151.5,0,0.7535797311379961
culdesac,0.12,one_llm,8,1.0,198.66666666666666,0.13333333333333333,0.5734195914321758
culdesac,0.12,one_llm,9,1.0,156.66666666666666,0,0.7328637902042168
culdesac,0.2,rule_only,0,1.0,213,0,0.46808071820995906
culdesac,0.2,rule_only,1,1.0,197.86666666666667,0,0.5400498806411226
culdesac,0.2,rule_only,2,0.2,813,0,0.1254122197471542
culdesac,0.2,rule_only,3,0.7333333333333333,224.1818181818182,0.06666666666666667,0.4855953064166756
culdesac,0.2,rule_only,4,0.8,231.91666666666666,0,0.43288059910681337
culdesac,0.2,rule_only,5,0.6666666666666666,283.8,0,0.36071207011080647
culdesac,0.2,rule_only,6,0.8666666666666667,201.46153846153845,0.06666666666666667,0.5072132054588337
culdesac,0.2,rule_only,7,0.8,310.25,0,0.3454853462420464
culdesac,0.2,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
culdesac,0.2,rule_only,9,0.8,216,0,0.4876853123449973
culdesac,0.2,one_llm,0,0.9333333333333333,159.5,0,0.6948751800374005
culdesac,0.2,one_llm,1,1.0,154.6,0,0.723860215225255
culdesac,0.2,one_llm,2,0.8666666666666667,199.30769230769232,0,0.5492832649570917
culdesac,0.2,one_llm,3,0.9333333333333333,170.64285714285714,0.06666666666666667,0.6583638537101045
culdesac,0.2,one_llm,4,1.0,150.06666666666666,0,0.7393029255971763
culdesac,0.2,one_llm,5,0.9333333333333333,159.71428571428572,0,0.69319392827651
culdesac,0.2,one_llm,6,0.9333333333333333,367.14285714285717,0.06666666666666667,0.3003517138319476
culdesac,0.2,one_llm,7,0.9333333333333333,159.07142857142858,0,0.7282051790147699
culdesac,0.2,one_llm,8,1.0,190.53333333333333,0,0.5942227482346125
culdesac,0.2,one_llm,9,1.0,181,0,0.6233020307436182
